,alpha,zero_count,non_zero_mean
37,0.01,5,0.0
38,0.01,5,0.0
39,0.01,5,0.0
40,0.01,5,0.0
41,0.01,5,0.0
42,0.01,5,0.0
45,0.01,5,0.0
46,0.01,5,0.0
47,0.01,5,0.0
48,0.01,5,0.0
49,0.01,5,0.0
50,0.01,5,0.0
51,0.01,5,0.0
53,0.01,5,0.0
54,0.01,5,0.0
55,0.01,5,0.0
56,0.01,5,0.0
"('Loss.Ratio', 11, 'CAT')",0.25,0,0.107814905408621
"('Loss.Ratio', 21, 'BUY')",0.25,5,0.0
"('Loss.Ratio', 21, 'CAT')",0.25,5,0.0
"('Loss.Ratio', 41, 'BUY')",0.25,5,0.0
"('Loss.Ratio', 41, 'CAT')",0.25,5,0.0
"('Loss.Ratio', 51, 'BUY')",0.25,5,0.0
"('Loss.Ratio', 51, 'CAT')",0.25,5,0.0
"('Loss.Ratio', 81, 'BUY')",0.25,5,0.0
"('Loss.Ratio', 81, 'CAT')",0.25,5,0.0
"('Loss.Ratio', 88, 'BUY')",0.25,5,0.0
"('Loss.Ratio', 91, 'BUY')",0.25,5,0.0
"('Loss.Ratio', 91, 'CAT')",0.25,5,0.0
"('Loss.Ratio', 11, 'CAT missing')",0.25,5,0.0
"('Loss.Ratio', 21, 'BUY missing')",0.25,5,0.0
"('Loss.Ratio', 21, 'CAT missing')",0.25,5,0.0
"('Loss.Ratio', 41, 'BUY missing')",0.25,5,0.0
"('Loss.Ratio', 41, 'CAT missing')",0.25,5,0.0
"('Loss.Ratio', 51, 'BUY missing')",0.25,5,0.0
"('Loss.Ratio', 51, 'CAT missing')",0.25,5,0.0
"('Loss.Ratio', 81, 'BUY missing')",0.25,5,0.0
"('Loss.Ratio', 81, 'CAT missing')",0.25,5,0.0
"('Loss.Ratio', 88, 'BUY missing')",0.25,5,0.0
"('Loss.Ratio', 91, 'BUY missing')",0.25,5,0.0
"('Loss.Ratio', 91, 'CAT missing')",0.25,5,0.0
04,0.25,5,0.0
05,0.25,5,0.0
06,0.25,5,0.0
08,0.25,5,0.0
09,0.25,5,0.0
10,0.25,5,0.0
12,0.25,5,0.0
13,0.25,5,0.0
16,0.25,5,0.0
17,0.25,5,0.0
18,0.25,5,0.0
19,0.25,5,0.0
20,0.25,5,0.0
21,0.25,5,0.0
22,0.25,5,0.0
23,0.25,5,0.0
24,0.25,5,0.0
25,0.25,5,0.0
26,0.25,5,0.0
27,0.25,5,0.0
28,0.25,5,0.0
29,0.25,5,0.0
30,0.25,5,0.0
31,0.25,5,0.0
32,0.25,5,0.0
33,0.25,5,0.0
34,0.25,5,0.0
35,0.25,5,0.0
36,0.25,5,0.0
37,0.25,5,0.0
38,0.25,5,0.0
39,0.25,5,0.0
40,0.25,5,0.0
41,0.25,5,0.0
42,0.25,5,0.0
45,0.25,5,0.0
46,0.25,5,0.0
47,0.25,5,0.0
48,0.25,5,0.0
49,0.25,5,0.0
50,0.25,5,0.0
51,0.25,5,0.0
53,0.25,5,0.0
54,0.25,5,0.0
55,0.25,5,0.0
56,0.25,5,0.0
"('Loss.Ratio', 11, 'CAT')",0.5,5,0.0
"('Loss.Ratio', 21, 'BUY')",0.5,5,0.0
"('Loss.Ratio', 21, 'CAT')",0.5,5,0.0
"('Loss.Ratio', 41, 'BUY')",0.5,5,0.0
"('Loss.Ratio', 41, 'CAT')",0.5,5,0.0
"('Loss.Ratio', 51, 'BUY')",0.5,5,0.0
"('Loss.Ratio', 51, 'CAT')",0.5,5,0.0
"('Loss.Ratio', 81, 'BUY')",0.5,5,0.0
"('Loss.Ratio', 81, 'CAT')",0.5,5,0.0
"('Loss.Ratio', 88, 'BUY')",0.5,5,0.0
"('Loss.Ratio', 91, 'BUY')",0.5,5,0.0
"('Loss.Ratio', 91, 'CAT')",0.5,5,0.0
"('Loss.Ratio', 11, 'CAT missing')",0.5,5,0.0
"('Loss.Ratio', 21, 'BUY missing')",0.5,5,0.0
"('Loss.Ratio', 21, 'CAT missing')",0.5,5,0.0
"('Loss.Ratio', 41, 'BUY missing')",0.5,5,0.0
"('Loss.Ratio', 41, 'CAT missing')",0.5,5,0.0
"('Loss.Ratio', 51, 'BUY missing')",0.5,5,0.0
"('Loss.Ratio', 51, 'CAT missing')",0.5,5,0.0
"('Loss.Ratio', 81, 'BUY missing')",0.5,5,0.0
"('Loss.Ratio', 81, 'CAT missing')",0.5,5,0.0
"('Loss.Ratio', 88, 'BUY missing')",0.5,5,0.0
"('Loss.Ratio', 91, 'BUY missing')",0.5,5,0.0
"('Loss.Ratio', 91, 'CAT missing')",0.5,5,0.0
04,0.5,5,0.0
05,0.5,5,0.0
06,0.5,5,0.0
08,0.5,5,0.0
09,0.5,5,0.0
10,0.5,5,0.0
12,0.5,5,0.0
13,0.5,5,0.0
16,0.5,5,0.0
17,0.5,5,0.0
18,0.5,5,0.0
19,0.5,5,0.0
20,0.5,5,0.0
21,0.5,5,0.0
22,0.5,5,0.0
23,0.5,5,0.0
24,0.5,5,0.0
25,0.5,5,0.0
26,0.5,5,0.0
27,0.5,5,0.0
28,0.5,5,0.0
29,0.5,5,0.0
30,0.5,5,0.0
31,0.5,5,0.0
32,0.5,5,0.0
33,0.5,5,0.0
34,0.5,5,0.0
35,0.5,5,0.0
36,0.5,5,0.0
37,0.5,5,0.0
38,0.5,5,0.0
39,0.5,5,0.0
40,0.5,5,0.0
41,0.5,5,0.0
42,0.5,5,0.0
45,0.5,5,0.0
46,0.5,5,0.0
47,0.5,5,0.0
48,0.5,5,0.0
49,0.5,5,0.0
50,0.5,5,0.0
51,0.5,5,0.0
53,0.5,5,0.0
54,0.5,5,0.0
55,0.5,5,0.0
56,0.5,5,0.0
"('Loss.Ratio', 11, 'CAT')",1.0,5,0.0
"('Loss.Ratio', 21, 'BUY')",1.0,5,0.0
"('Loss.Ratio', 21, 'CAT')",1.0,5,0.0
"('Loss.Ratio', 41, 'BUY')",1.0,5,0.0
"('Loss.Ratio', 41, 'CAT')",1.0,5,0.0
"('Loss.Ratio', 51, 'BUY')",1.0,5,0.0
"('Loss.Ratio', 51, 'CAT')",1.0,5,0.0
"('Loss.Ratio', 81, 'BUY')",1.0,5,0.0
"('Loss.Ratio', 81, 'CAT')",1.0,5,0.0
"('Loss.Ratio', 88, 'BUY')",1.0,5,0.0
"('Loss.Ratio', 91, 'BUY')",1.0,5,0.0
"('Loss.Ratio', 91, 'CAT')",1.0,5,0.0
"('Loss.Ratio', 11, 'CAT missing')",1.0,5,0.0
"('Loss.Ratio', 21, 'BUY missing')",1.0,5,0.0
"('Loss.Ratio', 21, 'CAT missing')",1.0,5,0.0
